id,Minorista,Minorista_ID,Fecha_Venta,Region,Estado,Ciudad,Producto,Precio_por_Unidad,Unidades_Vendidas,Total_Ventas,Ganancia_Operativa,Metodo_Venta
2640,Decathlon,1185732,2024-12-09,Andina,Bogotá D.C.,Bogotá D.C.,Calzado urbano para hombre,445700.0,150,1170000,200788.56,Online
2641,Mercado Libre,1185732,2025-05-11,Andina,Bogotá D.C.,Bogotá D.C.,Calzado urbano para hombre,548600.0,150,1440000,310153.9,Online
2642,Decathlon,1197831,2025-02-10,Andina,Antioquia,Medellín,Ropa de hombre,342900.0,150,900000,172872.74,Outlet
2643,Nike Store,1185732,2025-04-13,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para hombre,377100.0,150,990000,162607.62,Outlet
2644,Plaza Sport,,2023-07-10,Caribe,Atlántico,Sabanalarga,Ropa de hombre,402900.0,150,1057500,216796.15,Outlet
2645,Decathlon,1197831,2024-09-09,Andina,Tolima,Espinal,Ropa de hombre,257100.0,150,675000,109546.11,Outlet
2646,Éxito,1128299,2025-02-14,Caribe,Atlántico,Barranquilla,Calzado deportivo para hombre,385700.0,150,1012500,158383.5,Outlet
2647,Nike Store,1128299,2025-04-21,Andina,Santander,Floridablanca,Calzado urbano para hombre,265700.0,150,697500,178050.22,Outlet
2648,Decathlon,1128299,2025-05-23,Orinoquía,Arauca,Arauca,Calzado urbano para mujer,377100.0,150,990000,214890.62,Outlet
2649,Decathlon,1128299,2024-07-12,Orinoquía,Arauca,Arauca,Calzado urbano para hombre,197100.0,150,517500,87715.61,Outlet
2650,Decathlon,1128299,2025-01-09,Andina,Cundinamarca,Soacha,Calzado urbano para mujer,360000.0,150,945000,147713.08,Outlet
2651,Nike Store,1185732,2024-10-12,Caribe,Magdalena,Santa Marta,Ropa de mujer,300000.0,150,787500,183530.34,Outlet
2652,Nike Store,1185732,2024-11-14,Caribe,Magdalena,Santa Marta,Calzado deportivo para hombre,248600.0,150,652500,141162.89,Outlet
2653,Éxito,1185732,2024-12-12,Caribe,Magdalena,Santa Marta,Ropa de hombre,394300.0,150,1035000,240683.85,Outlet
2654,Nike Store,1185732,2024-10-02,Caribe,Sucre,Corozal,Calzado urbano para hombre,334300.0,150,877500,222620.97,Outlet
2655,Nike Store,1185732,2024-12-08,Andina,Antioquia,Medellín,Calzado urbano para hombre,420000.0,149,1087849,218506.66,Online
2656,Plaza Sport,1128299,2023-06-24,Caribe,Atlántico,Sabanalarga,Calzado urbano para hombre,497100.0,149,1287658,261663.32,Online
2657,Plaza Sport,1128299,2023-12-16,Pacífica,Nariño,Tumaco,Calzado urbano para hombre,497100.0,149,1287658,197603.93,Online
2658,Decathlon,1197831,2024-10-14,Andina,Tolima,Espinal,Calzado deportivo para mujer,462900.0,149,1198854,272947.4,Online
2659,Decathlon,1197831,2025-01-20,Andina,Tolima,Ibagué,Ropa de mujer,171400.0,149,444020,87910.7,Online
2660,Nike Store,1128299,2024-12-05,Caribe,San Andrés,Providencia,Ropa de hombre,685700.0,149,1776080,278702.41,Online
2661,Éxito,1128299,2025-02-07,Caribe,San Andrés,Providencia,Calzado urbano para hombre,531400.0,149,1376462,207343.88,Online
2662,Éxito,1128299,2025-02-07,Caribe,San Andrés,Providencia,Calzado deportivo para hombre,591400.0,149,1531869,371351.11,Online
2663,Plaza Sport,1185732,2025-01-05,Andina,Cundinamarca,Chía,Ropa de hombre,445700.0,149,1154452,196463.4,Online
2664,Falabella,1185732,2024-08-06,Amazonía,Amazonas,Leticia,Calzado urbano para mujer,231400.0,149,599427,116075.2,Online
2665,Falabella,1185732,2024-09-07,Amazonía,Amazonas,Leticia,Ropa de mujer,308600.0,149,799236,157993.93,Online
2666,Falabella,1185732,2024-12-06,Amazonía,Amazonas,Leticia,Calzado urbano para mujer,325700.0,149,843638,217215.86,Online
2667,Nike Store,1128299,2024-12-19,Andina,Cundinamarca,Facatativá,Calzado deportivo para mujer,702900.0,149,1820482,390188.26,Online
2668,Nike Store,1128299,2025-04-22,Andina,Cundinamarca,Facatativá,Ropa de mujer,634300.0,149,1642874,425892.72,Online
2669,Decathlon,1185732,2024-06-17,Andina,Cundinamarca,Facatativá,Calzado urbano para mujer,197100.0,149,510623,88432.12,Online
2670,Plaza Sport,1185732,2025-04-09,Andina,Tolima,Honda,Calzado urbano para hombre,248600.0,149,643829,101863.14,Online
2671,Plaza Sport,1128299,2025-04-22,Pacífica,Chocó,Quibdó,Ropa de mujer,651400.0,149,1687276,390635.95,Online
2672,Falabella,1128299,2024-11-22,Orinoquía,Arauca,Arauca,Calzado urbano para mujer,462900.0,149,1198854,243307.11,Online
2673,Falabella,,2025-03-24,Orinoquía,Arauca,Arauca,Calzado deportivo para hombre,428600.0,149,1110050,188922.31,Online
2674,Decathlon,,2025-03-02,Caribe,Córdoba,Montería,Ropa de hombre,360000.0,149,932442,188459.45,Online
2675,Falabella,1197831,2024-06-14,Andina,Huila,Neiva,Calzado urbano para hombre,197100.0,149,510623,122545.15,Online
2676,Plaza Sport,1185732,2024-11-28,Andina,Caldas,Manizales,Calzado urbano para hombre,385700.0,149,999045,223402.12,Online
2677,Plaza Sport,1185732,2024-12-05,Orinoquía,Meta,Villavicencio,Calzado urbano para hombre,437100.0,149,1132251,280916.04,Online
2678,Plaza Sport,1185732,2024-07-16,Orinoquía,Meta,,Calzado urbano para hombre,282900.0,149,732633,146287.14,Online
2679,Decathlon,1185732,2025-05-04,Andina,Cundinamarca,Zipaquirá,Calzado urbano para hombre,471400.0,149,1221055,261371.26,Online
2680,Decathlon,1185732,2024-07-04,Andina,Cundinamarca,Zipaquirá,Calzado urbano para hombre,334300.0,149,865839,182907.39,Online
2681,Falabella,,2024-09-07,Andina,Antioquia,Bello,Ropa de hombre,325700.0,149,843638,129990.09,Outlet
2682,Decathlon,1197831,2025-01-28,Andina,Antioquia,Medellín,Calzado deportivo para mujer,171400.0,149,444020,91764.59,Outlet
2683,Decathlon,1197831,2025-02-28,Andina,Antioquia,Medellín,Ropa de hombre,317100.0,149,821437,165182.84,Outlet
2684,Plaza Sport,,2023-08-12,Caribe,Atlántico,Sabanalarga,Calzado urbano para hombre,171400.0,149,444020,104543.36,Outlet
2685,Decathlon,1197831,2025-03-02,Andina,Tolima,Ibagué,Ropa de hombre,317100.0,149,821437,167545.86,Outlet
2686,Decathlon,1128299,2024-08-12,Caribe,Atlántico,Barranquilla,Calzado urbano para mujer,402900.0,149,1043447,170594.89,NULL
2687,Nike Store,,2025-02-21,Andina,Cundinamarca,Facatativá,Calzado urbano para hombre,300000.0,149,777035,128644.37,Outlet
2688,Plaza Sport,1185732,2024-07-10,Andina,Tolima,Honda,Ropa de mujer,154300.0,149,399618,74854.47,Outlet
2689,Plaza Sport,1128299,2025-02-21,Pacífica,Chocó,Quibdó,Calzado urbano para hombre,291400.0,149,754834,135795.61,Outlet
2690,Plaza Sport,1128299,2025-04-22,Pacífica,Chocó,Quibdó,Calzado deportivo para mujer,334300.0,149,865839,162397.86,Outlet
2691,Decathlon,1197831,2025-04-03,Amazonía,Caquetá,Florencia,Ropa de hombre,351400.0,149,910241,225833.03,Outlet
2692,Falabella,1128299,2024-12-21,Orinoquía,Arauca,Arauca,Calzado deportivo para mujer,334300.0,NaN,NaN,171287.64,Outlet
2693,Falabella,1128299,2025-04-24,Orinoquía,Arauca,Arauca,Calzado urbano para mujer,394300.0,149,1021246,209187.08,Outlet
2694,Decathlon,1128299,2024-06-11,Orinoquía,Arauca,Arauca,Calzado urbano para hombre,205700.0,149,532824,90947.86,Outlet
2695,Decathlon,1128299,2025-01-09,Andina,Cundinamarca,Soacha,Calzado deportivo para mujer,360000.0,149,932442,185505.38,Outlet
2696,Nike Store,1185732,2024-11-14,Caribe,Magdalena,Santa Marta,Calzado deportivo para mujer,291400.0,149,754834,168069.86,Outlet
2697,Éxito,1197831,2024-11-17,Pacífica,Nariño,Pasto,Calzado deportivo para hombre,214300.0,149,555025,142337.81,Outlet
2698,Éxito,1197831,2024-12-15,Pacífica,Nariño,Pasto,Ropa de hombre,342900.0,149,888040,216939.94,Outlet
2699,Plaza Sport,1197831,2025-05-17,Pacífica,Nariño,Pasto,Calzado urbano para mujer,368600.0,149,954643,183381.89,Outlet
2700,Falabella,1197831,2025-05-17,Andina,Huila,Neiva,Calzado deportivo para hombre,402900.0,149,1043447,195752.18,Outlet
2701,Nike Store,1185732,2025-04-02,Caribe,San Andrés,San Andrés,Calzado urbano para hombre,437100.0,149,1132251,239723.73,Outlet
2702,Nike Store,1185732,2024-06-08,Caribe,San Andrés,San Andrés,Calzado urbano para hombre,197100.0,149,510623,120410.66,Outlet
2703,Decathlon,1185732,2024-09-10,Andina,Bogotá D.C.,Bogotá D.C.,Calzado urbano para hombre,240000.0,149,621628,108093.01,Outlet
2704,Mercado Libre,1185732,2025-01-07,Andina,Boyacá,Duitama,Calzado deportivo para hombre,368600.0,149,954643,221478.16,Outlet
2705,Mercado Libre,1185732,2024-12-13,Andina,Caldas,Chinchiná,Calzado deportivo para hombre,402900.0,149,1043447,165223.85,Outlet
2706,Nike Store,1185732,2025-04-16,Andina,Caldas,Chinchiná,Calzado urbano para hombre,505700.0,149,1309859,217067.52,Outlet
2707,Éxito,1197831,2024-01-07,Caribe,Atlántico,Soledad,Ropa de hombre,360000.0,147,907578,184745.11,Online
2708,Decathlon,1197831,2025-01-12,Andina,Antioquia,Medellín,Ropa de mujer,282900.0,147,713097,107418.92,Online
2709,Decathlon,1197831,2025-02-21,Andina,Antioquia,Medellín,Calzado deportivo para mujer,402900.0,147,1015623,215830.85,Online
2710,Falabella,1189833,2024-06-26,Amazonía,Guainía,Inírida,Calzado deportivo para hombre,360000.0,147,907578,218401.78,Online
2711,Decathlon,1197831,2024-10-01,Andina,Tolima,Espinal,Calzado urbano para mujer,308600.0,147,777924,152224.01,Online
2712,Mercado Libre,1185732,2025-05-19,Caribe,Guajira,Maicao,Calzado urbano para hombre,428600.0,147,1080450,233886.79,Online
2713,Éxito,1128299,2025-01-06,Caribe,San Andrés,Providencia,Ropa de hombre,591400.0,147,1491021,350865.39,Online
2714,Éxito,1128299,2025-04-15,Caribe,Atlántico,Barranquilla,Calzado urbano para mujer,454300.0,147,1145277,180014.0,Online
2715,Plaza Sport,1128299,2025-05-14,Caribe,Atlántico,Barranquilla,Ropa de hombre,737100.0,147,1858374,483066.83,Online
2716,Plaza Sport,1185732,2024-09-05,Andina,Cundinamarca,Chía,Calzado deportivo para hombre,368600.0,147,929187,221299.47,Online
2717,Plaza Sport,1185732,2025-04-07,Andina,Cundinamarca,Chía,Calzado urbano para mujer,385700.0,147,972405,146834.44,Online
2718,Falabella,1185732,2025-01-07,Amazonía,Amazonas,Leticia,Calzado deportivo para mujer,325700.0,147,821142,181072.28,Online
2719,Plaza Sport,1128299,2024-08-12,Caribe,Bolívar,Cartagena,Calzado urbano para hombre,377100.0,147,950796,161216.76,Online
2720,Nike Store,1128299,2024-10-20,Andina,Santander,Floridablanca,Calzado urbano para hombre,402900.0,147,1015623,260264.21,Online
2721,Nike Store,1128299,2025-04-21,Andina,Santander,Floridablanca,Calzado deportivo para hombre,394300.0,147,994014,181530.72,Online
2722,Falabella,1128299,2024-07-25,Andina,Santander,Floridablanca,Calzado urbano para hombre,282900.0,147,713097,152843.51,Online
2723,Decathlon,1128299,2024-11-09,Andina,Cundinamarca,Soacha,Calzado deportivo para hombre,462900.0,147,1166886,179486.11,Online
2724,Mercado Libre,1185732,2025-03-09,Andina,Risaralda,Pereira,Ropa de mujer,325700.0,147,821142,161000.3,Online
2725,Plaza Sport,1185732,2025-05-07,Andina,Risaralda,Pereira,Calzado deportivo para mujer,540000.0,147,1361367,352450.93,Online
2726,Éxito,1185732,2025-01-13,Caribe,Magdalena,Santa Marta,Calzado urbano para mujer,411400.0,147,1037232,234692.48,Online
2727,Éxito,,2025-02-12,Caribe,Magdalena,Santa Marta,Calzado deportivo para hombre,360000.0,147,907578,185741.03,Online
2728,Éxito,1197831,2024-12-15,Pacífica,Nariño,Pasto,Calzado deportivo para hombre,402900.0,147,1015623,197512.69,Online
2729,Decathlon,1185732,2025-01-05,Orinoquía,Vichada,Puerto Carreño,Calzado urbano para hombre,394300.0,147,994014,207157.39,Online
2730,Plaza Sport,1185732,2025-05-03,Orinoquía,Casanare,Yopal,Calzado urbano para hombre,462900.0,147,1166886,231745.06,Online
2731,Falabella,1185732,2024-07-07,Caribe,Atlántico,Puerto Colombia,Calzado urbano para hombre,291400.0,147,734706,160012.88,Online
2732,Nike Store,1185732,2024-10-27,Andina,Antioquia,Bello,Calzado urbano para hombre,308600.0,147,777924,181376.64,Outlet
2733,Decathlon,1197831,2025-02-25,Andina,Tolima,Ibagué,Ropa de mujer,222900.0,147,561834,141805.99,Outlet
2734,Éxito,,2025-01-13,Caribe,Atlántico,Barranquilla,Calzado deportivo para mujer,548600.0,147,1382976,266261.31,Outlet
2735,Éxito,1128299,2025-04-15,Caribe,Atlántico,Barranquilla,Ropa de hombre,497100.0,147,1253322,207354.37,Outlet
2736,Nike Store,1128299,2024-09-20,Andina,Cundinamarca,Facatativá,Calzado urbano para hombre,325700.0,147,821142,172140.67,Outlet
2737,Plaza Sport,1128299,2025-04-15,Caribe,Bolívar,Cartagena,Ropa de hombre,454300.0,147,1145277,208265.22,Outlet
2738,Plaza Sport,1197831,2024-06-03,Caribe,Bolívar,Cartagena,Ropa de mujer,197100.0,147,497007,119444.73,Outlet
2739,Nike Store,1197831,2025-05-02,Amazonía,Caquetá,Florencia,Ropa de hombre,368600.0,147,929187,163629.11,Outlet
2740,Nike Store,1128299,2024-11-19,Andina,Santander,Floridablanca,Calzado urbano para mujer,351400.0,147,885969,203340.49,Outlet
2741,Falabella,1128299,2024-06-24,Andina,Santander,Floridablanca,Calzado deportivo para hombre,257100.0,147,648270,161589.17,Outlet
2742,Falabella,,2025-02-23,Orinoquía,Arauca,Arauca,Calzado urbano para mujer,334300.0,147,842751,158247.42,Outlet
2743,Nike Store,1128299,2025-05-10,Andina,Cundinamarca,Soacha,Calzado urbano para mujer,308600.0,147,777924,117534.74,Outlet
2744,Nike Store,1185732,2024-09-13,Caribe,Magdalena,Santa Marta,Ropa de mujer,188600.0,147,475398,72314.68,Outlet
2745,Éxito,1185732,2025-01-13,Caribe,Magdalena,Santa Marta,Calzado deportivo para mujer,274300.0,147,691488,108775.79,Outlet
2746,Falabella,1185732,2025-04-09,Amazonía,Amazonas,Leticia,Calzado urbano para mujer,360000.0,146,895272,161321.08,Online
2747,Nike Store,1185732,2024-10-03,Orinoquía,Casanare,Yopal,Calzado urbano para hombre,488600.0,146,1215012,205386.55,Online
2748,Nike Store,,2024-05-16,Andina,Antioquia,Envigado,Calzado urbano para mujer,342900.0,145,841000,130041.35,Outlet
2749,Plaza Sport,1128299,2024-05-21,Pacífica,Valle del Cauca,Cali,Ropa de hombre,531400.0,145,1303550,294619.2,Online
2750,Falabella,1189833,2024-08-07,Andina,Antioquia,Bello,Ropa de hombre,420000.0,145,1030225,191811.07,Online
2751,Decathlon,1197831,2025-01-21,Andina,Antioquia,Medellín,Calzado urbano para mujer,240000.0,145,588700,125322.13,Online
2752,Decathlon,1197831,2025-02-10,Andina,Antioquia,Medellín,Ropa de hombre,385700.0,145,946125,232601.27,Online
2753,Decathlon,1197831,2025-03-11,Andina,Antioquia,Medellín,Calzado deportivo para mujer,505700.0,145,1240475,273639.88,Online
2754,Nike Store,1185732,2025-04-25,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para hombre,514300.0,145,1261500,271759.18,Online
2755,Plaza Sport,1128299,2023-07-11,Caribe,Atlántico,Sabanalarga,Ropa de mujer,668600.0,145,1639950,254764.09,Online
2756,Decathlon,1197831,2024-09-09,Andina,Tolima,Espinal,Ropa de hombre,368600.0,145,904075,181237.37,Online
2757,Nike Store,1185732,2024-11-28,Andina,Tolima,Melgar,Calzado urbano para hombre,351400.0,145,862025,143346.0,Online
2758,Decathlon,1197831,2025-01-31,Andina,Tolima,Ibagué,Ropa de hombre,420000.0,145,1030225,195791.84,Online
2759,Decathlon,1197831,2025-03-08,Andina,Tolima,Ibagué,Ropa de hombre,497100.0,145,1219450,233364.59,Online
2760,Decathlon,,2025-05-07,Caribe,San Andrés,Providencia,Calzado deportivo para mujer,625700.0,145,1534825,363294.14,Online
2761,Plaza Sport,1185732,2024-06-10,Caribe,Atlántico,Barranquilla,Calzado deportivo para mujer,317100.0,145,777925,186233.13,Online
2762,Falabella,1185732,2024-06-12,Andina,Cundinamarca,Chía,Ropa de hombre,420000.0,145,1030225,233741.9,Online
2763,Falabella,,2024-07-11,Andina,Cundinamarca,Chía,Calzado deportivo para hombre,317100.0,145,777925,121535.06,Online
2764,Falabella,1185732,2024-07-11,Amazonía,Amazonas,Leticia,Ropa de hombre,402900.0,145,988175,168479.87,Online
2765,Falabella,1185732,2024-09-07,Amazonía,Amazonas,Leticia,Calzado urbano para mujer,240000.0,145,588700,137632.5,Online
2766,Falabella,1185732,2024-10-06,Amazonía,Amazonas,Leticia,Calzado urbano para mujer,334300.0,145,819975,145516.73,Online
2767,Nike Store,1185732,2025-05-08,Amazonía,Amazonas,Leticia,Ropa de hombre,462900.0,145,1135350,290595.7,Online
2768,Decathlon,1185732,2025-02-11,Andina,Boyacá,Tunja,Calzado urbano para mujer,291400.0,145,714850,112494.58,Online
2769,Decathlon,1185732,2025-04-14,Andina,Boyacá,Tunja,Calzado deportivo para hombre,360000.0,145,883050,175711.86,Online
2770,Plaza Sport,1185732,2025-05-08,Andina,Tolima,Honda,Calzado deportivo para hombre,240000.0,145,588700,89959.4,Online
2771,Plaza Sport,1128299,2024-10-21,Pacífica,Chocó,Quibdó,Calzado urbano para hombre,411400.0,145,1009200,239283.9,Online
2772,Plaza Sport,1128299,2025-02-14,Caribe,Bolívar,Cartagena,Calzado urbano para hombre,368600.0,145,904075,223380.67,Online
2773,Nike Store,1128299,2024-08-18,Andina,Santander,Floridablanca,Calzado urbano para hombre,317100.0,145,777925,119880.09,Online
2774,Nike Store,1128299,2025-03-21,Andina,Santander,Floridablanca,Calzado deportivo para hombre,402900.0,145,988175,206791.31,Online
2775,Falabella,1128299,2024-12-21,Orinoquía,Arauca,Arauca,Ropa de hombre,488600.0,145,1198425,256489.61,Online
2776,Decathlon,1128299,2025-05-23,Orinoquía,Arauca,Arauca,Calzado deportivo para mujer,471400.0,145,1156375,210822.91,Online
2777,Decathlon,1128299,2024-07-12,Orinoquía,Arauca,Arauca,Calzado urbano para hombre,248600.0,145,609725,139932.71,Online
2778,Éxito,1185732,2025-03-16,Caribe,Magdalena,Santa Marta,Calzado deportivo para hombre,214300.0,145,525625,121191.19,Online
2779,Falabella,1197831,2025-03-12,Andina,Quindío,Armenia,Calzado urbano para hombre,248600.0,145,609725,124582.29,Online
2780,Nike Store,1185732,2024-07-05,Orinoquía,Vichada,Puerto Carreño,Calzado urbano para hombre,240000.0,145,588700,105924.33,Online
2781,Nike Store,1185732,2024-12-09,Caribe,Atlántico,Puerto Colombia,Ropa de mujer,471400.0,145,1156375,285243.02,Online
2782,Nike Store,1185732,2024-06-22,Andina,Caldas,Chinchiná,Calzado urbano para hombre,445700.0,145,1093300,233487.7,Online
2783,Decathlon,1197831,2025-03-05,Andina,Antioquia,Medellín,Calzado deportivo para mujer,257100.0,145,630750,112148.41,Outlet
2784,Plaza Sport,1128299,2023-06-07,Caribe,Atlántico,Sabanalarga,Calzado deportivo para hombre,300000.0,145,735875,153298.51,Outlet
2785,Plaza Sport,1128299,2023-07-03,Caribe,Atlántico,Sabanalarga,Calzado deportivo para mujer,402900.0,145,988175,245266.96,Outlet
2786,Plaza Sport,1128299,2023-08-13,Caribe,Atlántico,Sabanalarga,Calzado deportivo para hombre,265700.0,145,651775,160366.35,Outlet
2787,Decathlon,1197831,2024-08-23,Andina,Tolima,Espinal,Ropa de mujer,214300.0,145,525625,118592.54,Outlet
2788,Plaza Sport,1128299,2025-04-22,Pacífica,Chocó,Quibdó,Ropa de hombre,428600.0,145,1051250,252271.76,Outlet
2789,Nike Store,1128299,2024-06-21,Amazonía,Caquetá,Florencia,Calzado urbano para mujer,265700.0,145,651775,99721.43,Outlet
2790,Nike Store,1128299,2024-12-18,Andina,Santander,Floridablanca,Ropa de hombre,342900.0,145,841000,189291.87,Outlet
2791,Nike Store,1128299,2024-12-18,Andina,Santander,Floridablanca,Ropa de mujer,394300.0,145,967150,180275.05,Outlet
2792,Nike Store,1128299,2025-02-20,Andina,Santander,Floridablanca,Calzado urbano para mujer,291400.0,145,714850,154945.6,Outlet
2793,Falabella,1128299,2025-02-23,Orinoquía,Arauca,Arauca,Calzado deportivo para mujer,317100.0,145,777925,120242.59,NULL
2794,Falabella,1128299,2025-02-23,Orinoquía,Arauca,Arauca,Ropa de hombre,342900.0,145,841000,161963.1,Outlet
2795,Decathlon,1128299,2024-10-10,Andina,Cundinamarca,Soacha,Calzado urbano para mujer,342900.0,145,841000,201179.53,Outlet
2796,Decathlon,1128299,2025-04-11,Andina,Cundinamarca,Soacha,Calzado urbano para mujer,334300.0,145,819975,203617.43,Outlet
2797,Éxito,,2025-02-12,Caribe,Magdalena,Santa Marta,Calzado urbano para mujer,128600.0,145,315375,48556.25,Outlet
2798,Éxito,1197831,2024-07-20,Pacífica,Nariño,Pasto,Ropa de mujer,137100.0,145,336400,68912.59,Outlet
2799,Éxito,1197831,2024-10-15,Pacífica,Nariño,Pasto,Ropa de mujer,282900.0,145,693825,133474.59,Outlet
2800,Mercado Libre,1185732,2024-12-06,Andina,Boyacá,Duitama,Calzado deportivo para hombre,360000.0,145,883050,174239.6,Outlet
2801,Mercado Libre,1185732,2025-05-08,Andina,Boyacá,Duitama,Ropa de mujer,514300.0,145,1261500,327300.38,Outlet
2802,Mercado Libre,1185732,2025-01-14,Andina,Caldas,Chinchiná,Ropa de mujer,394300.0,145,967150,217917.92,Outlet
2803,Nike Store,1185732,2024-11-08,Andina,Antioquia,Medellín,Calzado urbano para hombre,402900.0,144,974592,193201.52,Online
2804,Decathlon,1197831,2025-03-04,Andina,Antioquia,Medellín,Calzado urbano para mujer,351400.0,144,850176,140476.94,Online
2805,Plaza Sport,1128299,2023-09-12,Andina,Cundinamarca,Cajicá,Calzado deportivo para hombre,505700.0,144,1223424,234223.04,Online
2806,Plaza Sport,,2023-12-02,Pacífica,Nariño,Tumaco,Ropa de hombre,660000.0,144,1596672,321802.27,Online
2807,Decathlon,1197831,2025-02-15,Andina,Tolima,Ibagué,Calzado deportivo para hombre,428600.0,144,1036800,179762.25,Online
2808,Decathlon,1197831,2025-02-28,Andina,Tolima,Ibagué,Calzado urbano para mujer,368600.0,144,891648,198188.46,Online
2809,Mercado Libre,1185732,2025-04-03,Caribe,Guajira,Maicao,Calzado urbano para hombre,445700.0,144,1078272,238529.99,Online
2810,Éxito,1128299,2025-03-15,Caribe,Atlántico,Barranquilla,Calzado deportivo para hombre,505700.0,144,1223424,219309.74,Online
2811,Plaza Sport,1185732,2024-11-06,Andina,Cundinamarca,Chía,Calzado deportivo para mujer,420000.0,144,1016064,195744.5,Online
2812,Plaza Sport,1185732,2025-04-07,Andina,Cundinamarca,Chía,Calzado deportivo para mujer,402900.0,144,974592,161267.61,Online
2813,Decathlon,,2025-01-12,Andina,Boyacá,Tunja,Calzado urbano para mujer,360000.0,144,870912,182377.94,Online
2814,Nike Store,1185732,2024-09-14,Andina,Santander,Bucaramanga,Calzado urbano para hombre,282900.0,144,684288,123606.85,Online
2815,Nike Store,1185732,2024-08-01,Caribe,Sucre,Sincelejo,Calzado deportivo para mujer,231400.0,144,559872,131540.62,Online
2816,Decathlon,1185732,2024-08-30,Caribe,Córdoba,Montería,Calzado urbano para mujer,171400.0,144,414720,63382.15,Online
2817,Decathlon,1185732,2025-05-14,Caribe,Magdalena,Santa Marta,Ropa de mujer,608600.0,144,1472256,352329.94,Online
2818,Falabella,1197831,2024-11-10,Andina,Quindío,Armenia,Calzado urbano para hombre,317100.0,144,767232,198000.51,Online
2819,Nike Store,,2024-07-14,Andina,Cundinamarca,Fusagasugá,Calzado urbano para hombre,334300.0,144,808704,163695.7,Online
2820,Falabella,1185732,2024-08-02,Andina,Cundinamarca,Zipaquirá,Calzado urbano para hombre,274300.0,144,663552,131298.95,NULL
2821,Plaza Sport,1128299,2023-07-20,Caribe,Atlántico,Sabanalarga,Calzado urbano para mujer,394300.0,144,953856,221401.88,Outlet
2822,Decathlon,1197831,2025-01-08,Andina,Tolima,Ibagué,Ropa de mujer,231400.0,144,559872,110263.29,Outlet
2823,Decathlon,1197831,2025-01-11,Andina,Tolima,Ibagué,Calzado urbano para mujer,171400.0,144,414720,103008.68,Outlet
2824,Nike Store,1128299,2025-04-22,Andina,Cundinamarca,Facatativá,Calzado deportivo para mujer,308600.0,144,746496,127706.91,Outlet
2825,Nike Store,1185732,2025-05-15,Andina,Caldas,Chinchiná,Ropa de mujer,522900.0,144,1264896,227974.59,Outlet
2826,Nike Store,1185732,2025-05-07,Andina,Cundinamarca,Bogotá D.C.,Calzado urbano para hombre,531400.0,143,1267838,301661.8,Online
2827,Plaza Sport,,2023-06-18,Caribe,Atlántico,Sabanalarga,Calzado urbano para hombre,497100.0,143,1186042,200410.8,Online
2828,Plaza Sport,1128299,2023-07-08,Caribe,Atlántico,Sabanalarga,Calzado urbano para mujer,522900.0,143,1247389,250812.77,Online
2829,Plaza Sport,1128299,2023-09-20,Andina,Cundinamarca,Cajicá,Calzado deportivo para mujer,522900.0,NaN,NaN,297412.08,Online
2830,Plaza Sport,1128299,2023-09-25,Andina,Cundinamarca,Cajicá,Calzado urbano para mujer,574300.0,143,1370083,299949.31,Online
2831,Falabella,1189833,2024-07-03,Amazonía,Guainía,Inírida,Calzado urbano para mujer,377100.0,143,899756,206364.54,Online
2832,Falabella,1189833,2024-07-06,Amazonía,Guainía,Inírida,Ropa de mujer,497100.0,143,1186042,272786.18,Online
2833,Falabella,1189833,2024-08-03,Amazonía,Guainía,Inírida,Calzado deportivo para mujer,368600.0,143,879307,177547.02,Online
2834,Decathlon,1197831,2025-02-25,Andina,Tolima,Ibagué,Ropa de mujer,308600.0,143,736164,124848.81,Online
2835,Decathlon,1197831,2025-03-07,Andina,Tolima,Ibagué,Calzado deportivo para mujer,540000.0,143,1288287,260514.5,Online
2836,Mercado Libre,1185732,2025-04-15,Caribe,Guajira,Maicao,Calzado urbano para hombre,437100.0,143,1042899,252702.29,Online
2837,Nike Store,1128299,2024-07-09,Amazonía,Vaupés,Mitú,Calzado urbano para hombre,282900.0,143,674817,158504.03,Online
2838,Nike Store,1128299,2024-10-07,Caribe,San Andrés,Providencia,Ropa de mujer,591400.0,143,1410981,264558.48,Online
2839,Éxito,1128299,2025-01-13,Caribe,Atlántico,Barranquilla,Calzado deportivo para mujer,660000.0,143,1574573,303648.51,Online
2840,Éxito,1128299,2025-01-13,Caribe,Atlántico,Barranquilla,Ropa de hombre,634300.0,143,1513226,380918.22,Online
2841,Falabella,1185732,2024-07-11,Andina,Cundinamarca,,Calzado urbano para mujer,248600.0,143,593021,118660.35,Online
2842,Falabella,1185732,2025-01-07,Amazonía,Amazonas,Leticia,Calzado urbano para mujer,325700.0,143,777062,159527.44,Online
2843,Falabella,1185732,2025-04-09,Amazonía,Amazonas,Leticia,Ropa de hombre,437100.0,143,1042899,173323.71,Online
2844,Nike Store,1128299,2024-08-19,Andina,Cundinamarca,Facatativá,Calzado urbano para hombre,325700.0,143,777062,136050.98,Online
2845,Decathlon,1185732,2024-08-11,Andina,Boyacá,Tunja,Ropa de mujer,282900.0,143,674817,153073.21,Online
2846,Decathlon,1185732,2024-12-11,Andina,Boyacá,Tunja,Ropa de hombre,462900.0,143,1104246,263839.33,Online
