"id";"Minorista";"Minorista_ID";"Fecha_Venta";"Region";"Departamento";"Ciudad";"Producto";"Precio_por_Unidad";"Unidades_Vendidas";"Total_Ventas";"Ganancia_Operativa";"Metodo_Venta"
618;"Decathlon";1197831;"2025-03-16";"Andina";"Antioquia";"Medellín";"Calzado urbano para mujer";394300.0;239;2627566.0;636905.93;"Outlet"
619;"Decathlon";1197831;"2025-01-04";"Amazonía";"Caquetá";"Florencia";"Ropa de mujer";377100.0;239;2513324.0;530224.14;"Outlet"
620;"Nike Store";1185732;"2023-06-28";"Andina";"Cundinamarca";"Bogotá D.C.";"Ropa de mujer";385700.0;238;2548980.0;452813.11;"Online"
621;"Nike Store";1185732;"2023-07-04";"Andina";"Cundinamarca";"Bogotá D.C.";"Ropa de mujer";420000.0;238;2775556.0;597655.6;"Online"
622;"Éxito";1197831;"2024-01-15";"Caribe";"Atlántico";"Soledad";"Calzado urbano para hombre";334300.0;238;2209116.0;383738.36;"Online"
623;"Éxito";1197831;"2024-01-16";"Caribe";"Atlántico";"Soledad";"Calzado deportivo para hombre";360000.0;238;2379048.0;434292.9;"Online"
624;"Éxito";1197831;"2024-01-21";"Caribe";"Atlántico";"Soledad";"Calzado urbano para hombre";317100.0;238;2095828.0;506404.19;"Online"
625;"Éxito";1197831;"2024-01-22";"Caribe";"Atlántico";"Soledad";"Calzado deportivo para hombre";360000.0;238;2379048.0;429364.2;"Online"
626;"Éxito";1197831;"2024-03-24";"Caribe";"Atlántico";"Soledad";"Calzado urbano para hombre";351400.0;238;2322404.0;574822.76;"Online"
627;"Falabella";1189833;"2024-09-21";"Andina";"Antioquia";"Bello";"Calzado urbano para hombre";351400.0;238;2322404.0;501936.16;"Online"
628;"Plaza Sport";1185732;"2025-02-04";"Andina";"Cundinamarca";"Chía";"Calzado urbano para hombre";428600.0;238;2832200.0;532746.24;"Online"
629;"Falabella";1185732;"2024-07-11";"Andina";"Cundinamarca";"Chía";"Calzado urbano para hombre";317100.0;238;2095828.0;528427.65;"Online"
630;"Decathlon";1185732;"2024-10-31";"Caribe";"Córdoba";"Montería";"Calzado urbano para hombre";394300.0;238;2605624.0;563741.38;"Online"
631;"Decathlon";1197831;"2023-12-18";"Andina";"Cundinamarca";"Bogotá D.C.";"Calzado urbano para mujer";231400.0;238;1529388.0;268222.1;"Outlet"
632;"Falabella";1189833;"2024-10-20";"Andina";"Antioquia";"Bello";"Ropa de mujer";420000.0;238;2775556.0;521323.61;"Outlet"
633;"Plaza Sport";1128299;"2023-07-12";"Caribe";"Atlántico";"Sabanalarga";"Calzado urbano para hombre";377100.0;238;2492336.0;381321.24;"Outlet"
634;"Éxito";1128299;"2024-11-13";"Caribe";"Atlántico";"Barranquilla";"Calzado urbano para mujer";514300.0;238;3398640.0;548905.6;"Outlet"
635;"Éxito";1128299;"2024-12-12";"Caribe";"Atlántico";"Barranquilla";"Calzado urbano para mujer";617100.0;238;4078368.0;809737.78;"Outlet"
636;"Falabella";1128299;"2025-05-23";"Orinoquía";"Arauca";"Arauca";"Calzado urbano para hombre";377100.0;238;2492336.0;618599.11;"Outlet"
637;"Nike Store";1185732;"2024-10-12";"Caribe";"Magdalena";"Santa Marta";"Calzado urbano para hombre";231400.0;238;1529388.0;252913.32;"Outlet"
638;"Plaza Sport";1197831;"2025-05-17";"Pacífica";"Nariño";"Pasto";"Calzado urbano para hombre";471400.0;238;3115420.0;474301.69;"Outlet"
639;"Plaza Sport";1197831;"2024-12-15";"Andina";"Huila";"Neiva";"Calzado urbano para hombre";368600.0;238;2435692.0;548297.14;"Outlet"
640;"Éxito";1185732;"2023-09-22";"Andina";"Cundinamarca";"Bogotá D.C.";"Ropa de hombre";548600.0;236;3564544.0;673047.12;"Online"
641;"Decathlon";1197831;"2023-12-29";"Caribe";"Atlántico";"Soledad";"Calzado deportivo para hombre";334300.0;236;2172144.0;496894.67;"Online"
642;"Plaza Sport";1128299;"2024-06-28";"Pacífica";"Valle del Cauca";"Cali";"Calzado urbano para hombre";437100.0;236;2840496.0;588939.9;"Online"
643;"Plaza Sport";1128299;"2024-07-05";"Pacífica";"Valle del Cauca";"Cali";"Calzado deportivo para hombre";497100.0;236;3230368.0;647404.06;"Online"
644;"Decathlon";1197831;"2024-09-10";"Andina";"Tolima";"Espinal";"Ropa de mujer";420000.0;236;2729104.0;627825.8;"Online"
645;"Decathlon";1197831;"2023-12-24";"Caribe";"Atlántico";"Soledad";"Calzado urbano para mujer";231400.0;236;1503792.0;269187.85;"Outlet"
646;"Decathlon";1197831;"2025-01-20";"Andina";"Antioquia";"Medellín";"Calzado deportivo para hombre";265700.0;236;1726576.0;284686.89;"Outlet"
647;"Decathlon";1197831;"2025-03-01";"Andina";"Antioquia";"Medellín";"Ropa de mujer";282900.0;236;1837968.0;454728.1;"Outlet"
648;"Decathlon";1197831;"2025-03-13";"Andina";"Antioquia";"Medellín";"Ropa de mujer";437100.0;236;2840496.0;432847.85;"Outlet"
649;"Éxito";1197831;"2024-11-17";"Pacífica";"Nariño";"Pasto";"Calzado urbano para hombre";240000.0;236;1559488.0;311427.91;"Outlet"
650;"Nike Store";1185732;"2023-06-03";"Andina";"Cundinamarca";"Bogotá D.C.";"Ropa de hombre";471400.0;234;3011580.0;516005.03;"Online"
651;"Nike Store";1185732;"2023-06-30";"Andina";"Cundinamarca";"Bogotá D.C.";"Calzado deportivo para hombre";402900.0;234;2573532.0;560013.58;"Online"
652;"Decathlon";1197831;"2023-12-16";"Andina";"Cundinamarca";"Bogotá D.C.";"Calzado urbano para hombre";205700.0;234;1314144.0;268091.13;"Online"
653;"Decathlon";1197831;"2024-01-03";"Caribe";"Atlántico";"Soledad";"Calzado urbano para hombre";231400.0;234;1478412.0;321121.02;"Online"
654;"Éxito";1197831;"2024-02-04";"Caribe";"Atlántico";"Soledad";"Calzado urbano para mujer";394300.0;234;2518776.0;539069.64;"Online"
655;"Éxito";1197831;"2024-03-18";"Caribe";"Atlántico";"Soledad";"Calzado urbano para hombre";368600.0;234;2354508.0;373147.68;"Online"
656;"Plaza Sport";1185732;"2024-07-09";"Caribe";"Atlántico";"Barranquilla";"Calzado urbano para hombre";377100.0;234;2409264.0;530880.66;"Online"
657;"Plaza Sport";1128299;"2024-04-04";"Pacífica";"Valle del Cauca";"Cali";"Ropa de mujer";420000.0;233;2660161.0;681804.39;"Online"
658;"Plaza Sport";1128299;"2024-06-14";"Pacífica";"Valle del Cauca";"Cali";"Ropa de hombre";548600.0;233;3474496.0;870223.88;"Online"
659;"Plaza Sport";1128299;"2024-06-15";"Pacífica";"Valle del Cauca";"Cali";"Ropa de mujer";617100.0;233;3908808.0;873214.2;"Online"
660;"Plaza Sport";1128299;"2024-07-12";"Pacífica";"Valle del Cauca";"Cali";"Calzado urbano para mujer";445700.0;233;2823028.0;608648.6;"Online"
661;"Decathlon";1197831;"2025-02-23";"Andina";"Antioquia";"Medellín";"Ropa de mujer";480000.0;233;3040184.0;783811.25;"Online"
662;"Decathlon";1197831;"2025-03-19";"Andina";"Antioquia";"Medellín";"Ropa de mujer";557100.0;233;3528785.0;572655.5;"Online"
663;"Plaza Sport";1185732;"2024-02-06";"Caribe";"La Guajira";"Riohacha";"Ropa de hombre";531400.0;233;3365918.0;733618.4;"Online"
664;"Plaza Sport";1185732;"2024-02-11";"Caribe";"La Guajira";"Riohacha";"Calzado deportivo para mujer";454300.0;233;2877317.0;670216.31;"Online"
665;"Nike Store";1185732;"2024-02-17";"Caribe";"La Guajira";"Riohacha";"Calzado deportivo para mujer";377100.0;233;2388716.0;599066.57;"Online"
666;"Decathlon";1197831;"2024-09-17";"Andina";"Tolima";"Espinal";"Calzado urbano para hombre";351400.0;233;2225849.0;412133.84;"Online"
667;"Decathlon";1197831;"2024-09-18";"Andina";"Tolima";"Espinal";"Calzado deportivo para hombre";462900.0;233;2931606.0;713610.33;"Online"
668;"Decathlon";1197831;"2025-03-04";"Andina";"Tolima";"Ibagué";"Calzado urbano para hombre";480000.0;233;3040184.0;552169.88;"Online"
669;"Nike Store";1128299;"2024-11-20";"Andina";"Cundinamarca";"Facatativá";"Calzado urbano para hombre";454300.0;233;2877317.0;713172.96;"Online"
670;"Plaza Sport";1128299;"2025-01-20";"Pacífica";"Chocó";"Quibdó";"Calzado deportivo para hombre";651400.0;233;4125964.0;884732.67;"Online"
671;"Nike Store";1197831;"2025-05-02";"Amazonía";"Caquetá";"Florencia";"Calzado urbano para hombre";462900.0;233;2931606.0;523501.17;"Online"
672;"Nike Store";1185732;"2025-01-02";"Caribe";"Sucre";"Sincelejo";"Calzado deportivo para mujer";377100.0;233;2388716.0;500592.96;"Online"
673;"Éxito";1197831;"2024-12-15";"Pacífica";"Nariño";"Pasto";"Calzado urbano para hombre";428600.0;233;2714450.0;684351.28;"Online"
674;"Éxito";1197831;"2024-02-13";"Caribe";"Atlántico";"Soledad";"Ropa de mujer";368600.0;233;2334427.0;354538.0;"Outlet"
675;"Plaza Sport";1128299;"2024-04-04";"Pacífica";"Valle del Cauca";"Cali";"Ropa de mujer";308600.0;233;1954404.0;357706.54;"Outlet"
676;"Plaza Sport";1128299;"2024-05-30";"Pacífica";"Valle del Cauca";"Cali";"Calzado deportivo para hombre";437100.0;233;2768739.0;552386.82;"Outlet"
677;"Falabella";1189833;"2024-09-17";"Andina";"Antioquia";"Bello";"Calzado urbano para mujer";300000.0;233;1900115.0;358104.34;"Outlet"
678;"Decathlon";1197831;"2025-01-31";"Andina";"Antioquia";"Medellín";"Calzado urbano para hombre";111400.0;233;705757.0;136773.92;"Outlet"
679;"Plaza Sport";1128299;"2023-07-06";"Caribe";"Atlántico";"Sabanalarga";"Calzado urbano para hombre";411400.0;233;2605872.0;660832.67;"Outlet"
680;"Decathlon";1197831;"2024-09-17";"Andina";"Tolima";"Espinal";"Calzado urbano para hombre";248600.0;233;1574381.0;325229.31;"Outlet"
681;"Decathlon";1197831;"2025-01-28";"Andina";"Tolima";"Ibagué";"Calzado deportivo para hombre";300000.0;233;1900115.0;441014.59;"Outlet"
682;"Decathlon";1197831;"2025-02-08";"Andina";"Tolima";"Ibagué";"Calzado urbano para hombre";231400.0;233;1465803.0;250310.06;"Outlet"
683;"Decathlon";1197831;"2025-02-09";"Andina";"Tolima";"Ibagué";"Calzado deportivo para hombre";334300.0;233;2117271.0;481755.07;"Outlet"
684;"Nike Store";1128299;"2024-11-20";"Andina";"Cundinamarca";"Facatativá";"Calzado urbano para hombre";317100.0;233;2008693.0;512979.54;"Outlet"
685;"Decathlon";1185732;"2024-06-17";"Andina";"Cundinamarca";"Facatativá";"Calzado urbano para hombre";197100.0;233;1248647.0;280060.59;"Outlet"
686;"Plaza Sport";1128299;"2025-05-21";"Pacífica";"Chocó";"Quibdó";"Calzado deportivo para hombre";480000.0;233;3040184.0;624201.26;"Outlet"
687;"Plaza Sport";1197831;"2024-10-31";"Amazonía";"Caquetá";"Florencia";"Calzado urbano para hombre";265700.0;233;1682959.0;342837.18;"Outlet"
688;"Nike Store";1197831;"2025-01-04";"Amazonía";"Caquetá";"Florencia";"Calzado urbano para hombre";325700.0;233;2062982.0;521117.44;"Outlet"
689;"Éxito";1197831;"2025-01-16";"Pacífica";"Nariño";"Pasto";"Calzado urbano para hombre";368600.0;233;2334427.0;401257.59;"Outlet"
690;"Éxito";1197831;"2024-01-08";"Caribe";"Atlántico";"Soledad";"Ropa de mujer";334300.0;232;2099136.0;360259.97;"Online"
691;"Éxito";1197831;"2024-01-17";"Caribe";"Atlántico";"Soledad";"Calzado urbano para mujer";317100.0;232;1991488.0;383269.75;"Online"
692;"Falabella";1189833;"2024-10-10";"Andina";"Antioquia";"Bello";"Calzado deportivo para hombre";437100.0;232;2745024.0;514419.87;"Online"
693;"Decathlon";1185732;"2025-02-11";"Andina";"Boyacá";"Tunja";"Calzado urbano para hombre";360000.0;232;2260608.0;473919.41;"Online"
694;"Nike Store";1185732;"2025-02-01";"Caribe";"Sucre";"Sincelejo";"Ropa de mujer";445700.0;232;2798848.0;632566.76;"Online"
695;"Mercado Libre";1185732;"2024-11-07";"Andina";"Risaralda";"Pereira";"Calzado urbano para hombre";420000.0;232;2637376.0;635926.94;"Online"
696;"Decathlon";1197831;"2024-01-05";"Caribe";"Atlántico";"Soledad";"Calzado urbano para mujer";205700.0;232;1291776.0;203553.32;"Outlet"
697;"Falabella";1189833;"2024-09-29";"Andina";"Antioquia";"Bello";"Calzado urbano para mujer";291400.0;232;1830016.0;447472.59;"Outlet"
698;"Falabella";1189833;"2024-10-26";"Andina";"Antioquia";"Bello";"Ropa de mujer";377100.0;232;2368256.0;378596.63;"Outlet"
699;"Decathlon";1197831;"2025-02-24";"Andina";"Antioquia";"Medellín";"Calzado urbano para hombre";325700.0;232;2045312.0;502655.96;"Outlet"
700;"Decathlon";1197831;"2024-09-22";"Andina";"Tolima";"Espinal";"Ropa de mujer";342900.0;232;2152960.0;342775.01;"Outlet"
701;"Nike Store";1197831;"2025-05-02";"Amazonía";"Caquetá";"Florencia";"Ropa de mujer";402900.0;232;2529728.0;604036.1;"Outlet"
702;"Éxito";1185732;"2025-02-12";"Caribe";"Magdalena";"Santa Marta";"Calzado urbano para hombre";342900.0;232;2152960.0;508620.55;"Outlet"
703;"Nike Store";1185732;"2023-08-11";"Andina";"Cundinamarca";"Bogotá D.C.";"Ropa de hombre";497100.0;231;3094938.0;634112.28;"Online"
704;"Falabella";1189833;"2024-10-15";"Andina";"Antioquia";"Bello";"Calzado urbano para hombre";420000.0;231;2614689.0;433272.79;"Online"
705;"Decathlon";1197831;"2025-02-12";"Andina";"Antioquia";"Medellín";"Calzado urbano para hombre";351400.0;231;2187801.0;380404.47;"Online"
706;"Decathlon";1197831;"2025-03-15";"Andina";"Antioquia";"Medellín";"Calzado deportivo para hombre";480000.0;231;2988216.0;664145.11;"Online"
707;"Plaza Sport";1185732;"2024-02-16";"Caribe";"La Guajira";"Riohacha";"Calzado urbano para mujer";454300.0;231;2828133.0;621193.24;"Online"
708;"Plaza Sport";1197831;"2024-10-31";"Amazonía";"Caquetá";"Florencia";"Ropa de mujer";471400.0;231;2934855.0;503254.05;"Online"
709;"Nike Store";1185732;"2025-01-02";"Caribe";"Sucre";"Sincelejo";"Calzado urbano para mujer";428600.0;231;2668050.0;422702.34;"Online"
710;"Decathlon";1185732;"2024-06-04";"Caribe";"Sucre";"Sincelejo";"Calzado urbano para hombre";282900.0;231;1760913.0;418623.92;"Online"
711;"Decathlon";1185732;"2024-10-31";"Caribe";"Córdoba";"Montería";"Ropa de mujer";574300.0;231;3575187.0;834313.91;"Online"
712;"Decathlon";1185732;"2024-12-30";"Caribe";"Córdoba";"Montería";"Ropa de mujer";462900.0;231;2881494.0;557909.23;"Online"
713;"Mercado Libre";1185732;"2024-07-10";"Caribe";"Córdoba";"Montería";"Calzado urbano para hombre";274300.0;231;1707552.0;389327.45;"Online"
714;"Mercado Libre";1185732;"2024-08-05";"Andina";"Risaralda";"Pereira";"Calzado urbano para hombre";231400.0;231;1440747.0;272534.94;"Online"
715;"Mercado Libre";1185732;"2025-05-07";"Andina";"Risaralda";"Pereira";"Calzado urbano para hombre";600000.0;231;3735270.0;828488.14;"Online"
716;"Decathlon";1197831;"2023-12-27";"Caribe";"Atlántico";"Soledad";"Ropa de mujer";222900.0;231;1387386.0;237964.87;"Outlet"
717;"Plaza Sport";1128299;"2024-04-12";"Pacífica";"Valle del Cauca";"Cali";"Calzado deportivo para hombre";334300.0;231;2081079.0;316734.62;"Outlet"
718;"Falabella";1189833;"2024-10-23";"Andina";"Antioquia";"Bello";"Calzado urbano para mujer";334300.0;231;2081079.0;429588.03;"Outlet"
719;"Decathlon";1197831;"2025-01-25";"Andina";"Antioquia";"Medellín";"Calzado urbano para hombre";111400.0;231;693693.0;142579.02;"Outlet"
720;"Éxito";1128299;"2025-01-13";"Caribe";"Atlántico";"Barranquilla";"Calzado urbano para mujer";531400.0;231;3308382.0;854899.58;"Outlet"
721;"Éxito";1128299;"2025-04-15";"Caribe";"Atlántico";"Barranquilla";"Calzado deportivo para hombre";394300.0;231;2454606.0;479659.63;"Outlet"
722;"Nike Store";1128299;"2024-11-20";"Andina";"Cundinamarca";"Facatativá";"Ropa de mujer";702900.0;231;4375602.0;708182.12;"Outlet"
723;"Plaza Sport";1185732;"2025-05-08";"Andina";"Tolima";"Honda";"Calzado urbano para hombre";248600.0;231;1547469.0;283192.17;"Outlet"
724;"Plaza Sport";1128299;"2024-11-20";"Pacífica";"Chocó";"Quibdó";"Ropa de mujer";634300.0;231;3948714.0;669202.3;"Outlet"
725;"Nike Store";1185732;"2023-06-27";"Andina";"Cundinamarca";"Bogotá D.C.";"Ropa de hombre";505700.0;230;3121100.0;806358.17;"Online"
726;"Nike Store";1185732;"2023-07-08";"Andina";"Cundinamarca";"Bogotá D.C.";"Calzado deportivo para mujer";394300.0;230;2433400.0;470533.87;"Online"
727;"Plaza Sport";1128299;"2024-04-11";"Pacífica";"Valle del Cauca";"Cali";"Calzado urbano para hombre";420000.0;230;2592100.0;393358.43;"Online"
728;"Nike Store";1185732;"2024-01-05";"Pacífica";"Nariño";"Tumaco";"Calzado urbano para mujer";291400.0;230;1798600.0;447257.23;"Online"
729;"Éxito";1197831;"2024-03-21";"Caribe";"Atlántico";"Soledad";"Calzado deportivo para mujer";308600.0;230;1904400.0;377242.28;"Outlet"
730;"Falabella";1189833;"2024-10-01";"Andina";"Antioquia";"Bello";"Ropa de hombre";368600.0;230;2274700.0;465040.19;"Outlet"
731;"Decathlon";1197831;"2025-01-13";"Andina";"Antioquia";"Medellín";"Calzado urbano para hombre";162900.0;230;1005100.0;168788.11;"Outlet"
732;"Decathlon";1197831;"2025-02-01";"Amazonía";"Caquetá";"Florencia";"Calzado urbano para hombre";351400.0;230;2168900.0;404147.61;"Outlet"
733;"Plaza Sport";1197831;"2025-01-16";"Andina";"Huila";"Neiva";"Calzado urbano para hombre";351400.0;230;2168900.0;364143.15;"Outlet"
734;"Plaza Sport";1128299;"2024-05-23";"Pacífica";"Valle del Cauca";"Cali";"Calzado urbano para hombre";480000.0;228;2911104.0;699981.58;"Online"
735;"Falabella";1185732;"2024-12-06";"Amazonía";"Amazonas";"Leticia";"Calzado urbano para hombre";411400.0;228;2495232.0;545413.65;"Online"
736;"Decathlon";1185732;"2025-05-03";"Caribe";"Sucre";"Sincelejo";"Ropa de mujer";582900.0;228;3534912.0;783177.02;"Online"
737;"Mercado Libre";1185732;"2025-01-06";"Andina";"Risaralda";"Pereira";"Calzado urbano para hombre";522900.0;228;3171024.0;608923.5;"Online"
738;"Decathlon";1197831;"2024-01-02";"Caribe";"Atlántico";"Soledad";"Ropa de mujer";248600.0;228;1507536.0;385133.78;"Outlet"
739;"Éxito";1197831;"2024-01-31";"Caribe";"Atlántico";"Soledad";"Ropa de hombre";300000.0;228;1819440.0;402604.96;"Outlet"
740;"Plaza Sport";1128299;"2024-06-01";"Pacífica";"Valle del Cauca";"Cali";"Calzado deportivo para mujer";360000.0;228;2183328.0;414790.68;"Outlet"
741;"Plaza Sport";1128299;"2024-07-08";"Pacífica";"Valle del Cauca";"Cali";"Ropa de hombre";437100.0;228;2651184.0;652365.83;"Outlet"
742;"Falabella";1189833;"2024-08-16";"Andina";"Antioquia";"Bello";"Calzado deportivo para hombre";308600.0;228;1871424.0;337579.52;"Outlet"
743;"Falabella";1189833;"2024-09-24";"Andina";"Antioquia";"Bello";"Calzado deportivo para mujer";248600.0;228;1507536.0;352363.44;"Outlet"
744;"Decathlon";1197831;"2025-03-10";"Andina";"Antioquia";"Medellín";"Calzado urbano para mujer";437100.0;228;2651184.0;682717.17;"Outlet"
745;"Decathlon";1197831;"2025-01-29";"Andina";"Tolima";"Ibagué";"Calzado urbano para mujer";300000.0;228;1819440.0;393665.49;"Outlet"
746;"Plaza Sport";1185732;"2024-08-06";"Andina";"Tolima";"Honda";"Calzado urbano para hombre";171400.0;228;1039680.0;165609.88;"Outlet"
747;"Plaza Sport";1185732;"2024-10-08";"Andina";"Tolima";"Honda";"Calzado urbano para hombre";231400.0;228;1403568.0;305062.05;"Outlet"
748;"Plaza Sport";1185732;"2025-02-08";"Andina";"Tolima";"Honda";"Calzado urbano para hombre";197100.0;228;1195632.0;285600.43;"Outlet"
749;"Éxito";1197831;"2024-10-15";"Pacífica";"Nariño";"Pasto";"Calzado urbano para hombre";222900.0;228;1351584.0;232886.86;"Outlet"
750;"Nike Store";1185732;"2024-11-04";"Andina";"Antioquia";"Medellín";"Calzado urbano para mujer";300000.0;225;1771875.0;380817.64;"Outlet"
751;"Nike Store";1185732;"2024-11-10";"Andina";"Antioquia";"Medellín";"Calzado urbano para mujer";342900.0;225;2025000.0;380088.14;"Outlet"
752;"Nike Store";1185732;"2024-12-11";"Andina";"Antioquia";"Medellín";"Calzado deportivo para mujer";342900.0;225;2025000.0;513780.24;"Outlet"
753;"Nike Store";1185732;"2025-03-22";"Andina";"Antioquia";"Medellín";"Calzado urbano para mujer";300000.0;225;1771875.0;399557.16;"Outlet"
754;"Nike Store";1185732;"2024-03-26";"Andina";"Antioquia";"Envigado";"Ropa de mujer";300000.0;225;1771875.0;383331.45;"In-store"
755;"Nike Store";1185732;"2024-04-22";"Andina";"Antioquia";"Envigado";"Calzado urbano para mujer";342900.0;225;2025000.0;516805.18;"Outlet"
756;"Nike Store";1185732;"2024-04-28";"Andina";"Antioquia";"Envigado";"Calzado urbano para mujer";342900.0;225;2025000.0;520496.64;"Outlet"
757;"Nike Store";1185732;"2024-10-18";"Andina";"Tolima";"Espinal";"Calzado deportivo para hombre";300000.0;225;1771875.0;459871.69;"Outlet"
758;"Nike Store";1185732;"2024-10-19";"Andina";"Tolima";"Espinal";"Calzado urbano para mujer";214300.0;225;1265625.0;198186.47;"Outlet"
759;"Nike Store";1185732;"2024-10-22";"Andina";"Tolima";"Melgar";"Ropa de mujer";300000.0;225;1771875.0;326627.69;"Outlet"
760;"Nike Store";1185732;"2024-11-24";"Andina";"Tolima";"Melgar";"Calzado urbano para mujer";300000.0;225;1771875.0;340067.81;"Outlet"
761;"Mercado Libre";1185732;"2025-04-02";"Caribe";"La Guajira";"Maicao";"Ropa de mujer";342900.0;225;2025000.0;519628.24;"Outlet"
762;"Nike Store";1185732;"2024-09-14";"Andina";"Santander";"Bucaramanga";"Ropa de hombre";342900.0;225;2025000.0;460194.43;"In-store"
763;"Nike Store";1185732;"2024-10-15";"Andina";"Santander";"Bucaramanga";"Calzado deportivo para mujer";257100.0;225;1518750.0;328753.08;"In-store"
764;"Nike Store";1185732;"2025-03-16";"Andina";"Santander";"Bucaramanga";"Calzado deportivo para mujer";214300.0;225;1265625.0;317096.2;"In-store"
765;"Nike Store";1185732;"2025-03-16";"Andina";"Santander";"Bucaramanga";"Ropa de hombre";300000.0;225;1771875.0;413443.89;"In-store"
766;"Plaza Sport";1128299;"2024-10-14";"Caribe";"Bolívar";"Cartagena";"Ropa de hombre";342900.0;225;2025000.0;313974.76;"In-store"
767;"Nike Store";1128299;"2024-07-22";"Andina";"Santander";"Floridablanca";"Calzado deportivo para mujer";342900.0;225;2025000.0;516851.87;"Online"
768;"Mercado Libre";1185732;"2024-11-18";"Andina";"Cundinamarca";"Girardot";"Calzado urbano para mujer";257100.0;225;1518750.0;335688.82;"Online"
769;"Mercado Libre";1185732;"2024-12-17";"Andina";"Cundinamarca";"Girardot";"Calzado deportivo para mujer";342900.0;225;2025000.0;383619.88;"Online"
770;"Mercado Libre";1185732;"2025-02-19";"Andina";"Cundinamarca";"Girardot";"Calzado urbano para mujer";300000.0;225;1771875.0;432551.12;"Online"
771;"Éxito";1197831;"2024-09-16";"Pacífica";"Nariño";"Pasto";"Calzado deportivo para mujer";171400.0;225;1012500.0;174430.51;"Online"
772;"Plaza Sport";1197831;"2024-06-21";"Pacífica";"Nariño";"Pasto";"Calzado deportivo para mujer";171400.0;225;1012500.0;201511.35;"Online"
773;"Plaza Sport";1197831;"2024-09-16";"Andina";"Huila";"Neiva";"Calzado deportivo para hombre";214300.0;225;1265625.0;276269.06;"Online"
774;"Plaza Sport";1197831;"2024-09-16";"Andina";"Huila";"Neiva";"Calzado urbano para mujer";128600.0;225;759375.0;177969.13;"Online"
775;"Plaza Sport";1197831;"2024-10-15";"Andina";"Huila";"Neiva";"Calzado deportivo para mujer";300000.0;225;1771875.0;455288.94;"Online"
776;"Plaza Sport";1197831;"2025-03-19";"Andina";"Huila";"Neiva";"Calzado urbano para mujer";171400.0;225;1012500.0;214324.05;"Online"
777;"Falabella";1197831;"2024-07-13";"Andina";"Quindío";"Armenia";"Ropa de hombre";300000.0;225;1771875.0;438593.6;"Online"
778;"Falabella";1197831;"2024-08-08";"Andina";"Quindío";"Armenia";"Calzado deportivo para hombre";171400.0;225;1012500.0;235527.44;"Online"
779;"Falabella";1197831;"2025-02-08";"Andina";"Quindío";"Armenia";"Calzado deportivo para mujer";128600.0;225;759375.0;121884.34;"Online"
780;"Falabella";1197831;"2025-02-08";"Andina";"Quindío";"Armenia";"Ropa de hombre";214300.0;225;1265625.0;221068.68;"Online"
781;"Nike Store";1185732;"2024-07-11";"Andina";"Quindío";"Armenia";"Calzado urbano para mujer";257100.0;225;1518750.0;367293.55;"Online"
782;"Nike Store";1185732;"2024-08-07";"Amazonía";"Guaviare";"San José del Guaviare";"Calzado urbano para mujer";257100.0;225;1518750.0;311620.52;"Online"
783;"Nike Store";1185732;"2024-08-07";"Amazonía";"Guaviare";"San José del Guaviare";"Ropa de mujer";342900.0;225;2025000.0;304545.91;"Online"
784;"Nike Store";1185732;"2024-12-07";"Amazonía";"Guaviare";"San José del Guaviare";"Calzado urbano para mujer";342900.0;225;2025000.0;417997.49;"Online"
785;"Nike Store";1185732;"2025-01-08";"Amazonía";"Guaviare";"San José del Guaviare";"Calzado urbano para mujer";342900.0;225;2025000.0;427099.72;"Online"
786;"Decathlon";1185732;"2024-07-08";"Amazonía";"Guaviare";"San José del Guaviare";"Calzado urbano para mujer";214300.0;225;1265625.0;221878.85;"Online"
787;"Decathlon";1185732;"2024-08-04";"Orinoquía";"Vichada";"Puerto Carreño";"Calzado urbano para mujer";171400.0;225;1012500.0;206365.8;"Online"
788;"Decathlon";1185732;"2024-08-04";"Orinoquía";"Vichada";"Puerto Carreño";"Ropa de mujer";257100.0;225;1518750.0;354104.68;"Online"
789;"Decathlon";1185732;"2024-12-04";"Orinoquía";"Vichada";"Puerto Carreño";"Calzado urbano para mujer";342900.0;225;2025000.0;373253.03;"In-store"
790;"Decathlon";1185732;"2025-01-05";"Orinoquía";"Vichada";"Puerto Carreño";"Calzado urbano para mujer";342900.0;225;2025000.0;368846.48;"In-store"
791;"Nike Store";1185732;"2024-08-01";"Orinoquía";"Casanare";"Yopal";"Calzado urbano para mujer";85700.0;225;506250.0;105180.82;"In-store"
792;"Nike Store";1185732;"2024-10-03";"Orinoquía";"Casanare";"Yopal";"Calzado deportivo para hombre";342900.0;225;2025000.0;470576.98;"In-store"
793;"Nike Store";1185732;"2024-12-01";"Orinoquía";"Casanare";"Yopal";"Calzado urbano para mujer";342900.0;225;2025000.0;341465.09;"In-store"
794;"Nike Store";1185732;"2025-01-02";"Orinoquía";"Casanare";"Yopal";"Calzado urbano para mujer";342900.0;225;2025000.0;437344.48;"In-store"
795;"Nike Store";1185732;"2025-02-03";"Orinoquía";"Casanare";"Yopal";"Ropa de mujer";342900.0;225;2025000.0;413077.17;"In-store"
796;"Plaza Sport";1185732;"2024-07-29";"Andina";"Caldas";"Manizales";"Calzado urbano para mujer";85700.0;225;506250.0;112400.6;"In-store"
797;"Plaza Sport";1185732;"2024-07-29";"Andina";"Caldas";"Manizales";"Ropa de mujer";171400.0;225;1012500.0;241140.28;"In-store"
